App Year,Application Id,Status,MCAT 2015 Highest Total,Sci Gpa,Total Gpa,CASPER Score,Gender,Race,Ethnicity
2022,3022,Rejected Without Interview,504,3.49,3.63,,Female,Unreported,Unreported
2022,3094,Rejected Without Interview,516,3.92,3.88,0.86,Female,Unreported,Unreported
2022,3136,Rejected Without Interview,514,4,4,0.86,Female,Unreported,Unreported
2022,3155,Rejected Without Interview,505,3.71,3.63,0.25,Male,Unreported,Unreported
2022,3207,Rejected Without Interview,507,2.87,3.41,0.59,Female,Unreported,Unreported
2022,3213,Withdrew Application Before Interview,,3.85,3.6,,[REDACTED],Unreported,Unreported
2022,3223,Rejected After Interview,519,4,4,0.08,Female,Unreported,Unreported
2022,3237,Rejected Without Interview,512,3.96,3.97,0.5,Female,Unreported,Unreported
2022,3240,Rejected Without Interview,512,4,4,0.8,Female,Unreported,Unreported
2022,3255,Rejected Without Interview,525,3.44,3.67,0.14,Female,Unreported,Unreported
2022,3275,Rejected Without Interview,502,3.73,3.79,1.03,Female,Unreported,Unreported
2022,3284,Rejected Without Interview,488,3.17,3.49,-1.49,Female,Unreported,Unreported
2022,3301,Rejected Without Interview,516,3.86,3.9,-0.04,Female,Unreported,Unreported
2022,3329,Rejected Without Interview,507,3.47,3.54,-0.17,Male,Unreported,Unreported
2022,3401,Rejected Without Interview,511,3.91,3.84,0.42,Male,Unreported,Unreported
2022,3425,Rejected Without Interview,505,3.05,3.44,0.35,Female,Unreported,Unreported
2022,3449,Rejected Without Interview,504,2.83,3.32,0.36,Female,Unreported,Unreported
2022,3451,Rejected Without Interview,514,3.57,3.66,-0.37,Female,Unreported,Unreported
2022,3487,Rejected Without Interview,513,4,4,-0.12,Male,Unreported,Unreported
2022,3560,Rejected Without Interview,514,3.49,3.66,-0.6,Female,Unreported,Unreported
2022,3612,Rejected Without Interview,522,3.81,3.86,2.08,Decline to Answer,Unreported,Unreported
2022,2488,Offered Admission - Declined,524,4,3.97,0.76,Male,Asian,Asian
2022,3643,Rejected Without Interview,500,4,4,-1.06,Female,Unreported,Unreported
2022,3647,Rejected Without Interview,512,3.33,3.39,-0.12,Female,Unreported,Unreported
2022,3654,Rejected Without Interview,508,3.48,3.6,-0.61,Female,Unreported,Unreported
2022,3662,Withdrawn Through Match,518,3.59,3.7,0.5,[REDACTED],Unreported,Unreported
2022,3888,Rejected Without Interview,509,3.62,3.84,0.41,Male,Unreported,Unreported
2022,3998,Rejected Without Interview,502,3.73,3.81,0.01,Male,Unreported,Unreported
2022,4049,Rejected Without Interview,507,3.8,3.9,-1.27,Female,Unreported,Unreported
2022,4078,Rejected Without Interview,503,3.87,3.83,-1.45,Male,Unreported,Unreported
2022,4096,Offered Admission - Matriculated,520,3.88,3.95,1.01,[REDACTED],Unreported,Unreported
2022,4172,Rejected Without Interview,506,3.53,3.73,,Female,Unreported,Unreported
2022,4186,Rejected Without Interview,496,3.48,3.59,,Female,Unreported,Unreported
2022,4228,Rejected Without Interview,505,3.28,3.53,-0.6,Male,Unreported,Unreported
2022,4242,Rejected Without Interview,508,3.68,3.81,0.67,Female,Unreported,Unreported
2022,4297,Rejected Without Interview,505,3.07,3.39,,Male,Unreported,Unreported
2022,4308,Rejected Without Interview,497,3.43,3.7,0.07,Female,Unreported,Unreported
2022,4391,Rejected Without Interview,511,3.58,3.72,-0.81,Male,Unreported,Unreported
2022,4417,Rejected Without Interview,513,3.61,3.71,-0.76,Female,Unreported,Unreported
2022,4465,Rejected Without Interview,523,3.94,3.94,0.26,Male,Unreported,Unreported
2022,4482,Rejected Without Interview,515,3.22,3.37,0.33,Male,Unreported,Unreported
2022,4555,Rejected Without Interview,520,4,3.84,-0.21,Male,Unreported,Unreported
2022,4556,Offered Admission - Matriculated,517,4,4,0.36,[REDACTED],Unreported,Unreported
2022,4589,Rejected Without Interview,513,4,4,-0.71,Female,Unreported,Unreported
2022,4594,Rejected Without Interview,507,3.24,3.43,0.1,Male,Unreported,Unreported
2022,4633,Rejected Without Interview,498,3.1,3.36,-1.07,Male,Unreported,Unreported
2022,4635,Rejected Without Interview,505,3.5,3.62,0.95,Male,Unreported,Unreported
2022,4836,Rejected Without Interview,503,4,4,1.18,Male,Unreported,Unreported
2022,4868,Rejected Without Interview,486,2.66,2.82,,Male,Unreported,Unreported
2022,4870,Rejected Without Interview,514,3.84,3.91,-0.36,Male,Unreported,Unreported
2022,4889,Rejected Without Interview,505,3.42,3.56,1.43,Male,Unreported,Unreported
2022,4954,Rejected Without Interview,483,2.99,3.33,-1.61,Female,Unreported,Unreported
2022,4984,Rejected Without Interview,501,3.47,3.56,-1.63,Female,Unreported,Unreported
2022,5005,Rejected Without Interview,518,3.83,3.93,0.67,Male,Unreported,Unreported
2022,5009,Rejected Without Interview,491,2.05,2.29,-1.79,Female,Unreported,Unreported
2022,5011,Rejected Without Interview,507,3.68,3.77,1.34,Male,Unreported,Unreported
2022,5033,Rejected Without Interview,511,3.75,3.87,0.1,Female,Unreported,Unreported
2022,5088,Rejected Without Interview,519,3.74,3.57,0.75,Female,Unreported,Unreported
2022,5092,Rejected Without Interview,522,3.86,3.95,0.5,Male,Unreported,Unreported
2022,5096,Rejected Without Interview,512,3.87,3.85,-0.51,Female,Unreported,Unreported
2022,5162,Rejected Without Interview,497,3.83,3.84,0.92,Female,Unreported,Unreported
2022,5218,Rejected Without Interview,511,3.82,3.9,1.18,Male,Unreported,Unreported
2022,5240,Rejected Without Interview,505,3.92,3.96,,Male,Unreported,Unreported
2022,5354,Rejected Without Interview,522,3.93,3.96,1.54,Female,Unreported,Unreported
2022,5365,Rejected Without Interview,519,3.73,3.79,1.21,Male,Unreported,Unreported
2022,5418,Rejected Without Interview,503,4,4,0.5,Female,Unreported,Unreported
2022,5446,Rejected Without Interview,521,,,0.92,Male,Unreported,Unreported
2022,5448,Rejected Without Interview,,2.77,3.06,,Female,Unreported,Unreported
2022,5496,Rejected Without Interview,488,1.55,2.04,,Male,Unreported,Unreported
2022,5541,Rejected Without Interview,,,,0.92,Male,Unreported,Unreported
2022,5566,Rejected Without Interview,506,3.52,3.72,-1.04,Female,Unreported,Unreported
2022,1932,Rejected without interview,510,3.7,3.81,-0.58,[REDACTED],White,"Hispanic, Latino, or of Spanish origin"
2022,1928,Rejected without interview,491,2.85,3.22,1.55,[REDACTED],White,"Hispanic, Latino, or of Spanish origin; Mexican/Chicano"
2022,4519,Rejected without interview,521,3.15,3.34,0.26,[REDACTED],White,"Hispanic, Latino, or of Spanish origin; Mexican/Chicano"
2022,4784,Rejected without interview,510,3.33,3.45,0.67,[REDACTED],White,"Spanish; Hispanic, Latino, or of Spanish origin; Mexican/Chicano"
2022,545,Rejected without interview,513,4,4,-0.73,Female,White,Unreported
2022,549,Rejected without interview,516,4,4,0.84,Female,White,White/Caucasian
2022,694,Rejected without interview,512,4,4,-0.37,Female,White,White/Caucasian
2022,1163,Rejected without interview,513,3.91,3.94,1.75,Female,White,White/Caucasian
2022,1628,Rejected without interview,511,3.68,3.78,-1.32,Male,White,White/Caucasian
2022,1723,Rejected without interview,506,3.86,3.93,-0.05,Female,White,White/Caucasian
2022,1925,Rejected without interview,514,3.35,3.58,-0.12,Female,White,White/Caucasian
2022,1927,Rejected without interview,506,3.06,3.4,-0.06,Female,White,White/Caucasian
2022,1929,Rejected without interview,509,3.6,3.68,0.36,Female,White,White/Caucasian
2022,1931,Rejected without interview,521,3.7,3.84,1.2,Female,White,White/Caucasian
2022,1935,Rejected without interview,498,3.29,3.5,-0.76,Male,White,White/Caucasian
2022,1938,Rejected without interview,510,3.67,3.76,-0.62,Male,White,White/Caucasian
