App Year,Application Id,Status,MCAT 2015 Highest Total,Sci Gpa,Total Gpa,CASPER Score,Gender,Race,Ethnicity
2021,65,Withdrawn Through Match,507,3.83,3.84,0.02,[REDACTED],African American,African American
2021,449,Withdrawn Through Match,510,3.53,3.6,-0.23,[REDACTED],African American,African American
2021,580,Withdrew Application Before Interview,496,3.67,3.78,-0.4,[REDACTED],African American,African American
2021,585,Withdrew Application Before Interview,,2.62,2.76,-2.2,[REDACTED],African American,African American
2021,586,Withdrew Application Before Interview,497,3.48,3.53,,[REDACTED],African American,African American
2021,880,Withdrawn Through Match,504,3.63,3.81,-0.91,[REDACTED],African American,African American
2021,1036,Withdrew Application Before Interview,492,2.9,3.09,-1.54,[REDACTED],African American,African American
2021,1090,Withdrawn Through Match,513,2.92,3.15,0.89,[REDACTED],African American,African American
2021,1164,Withdrawn Through Match,513,3.35,3.61,0.61,[REDACTED],African American,African American
2021,1411,Withdrew Application Before Interview,503,3.66,3.77,-0.68,[REDACTED],African American,African American
2021,1569,Withdrawn Through Match,511,3.22,3.4,-0.56,[REDACTED],African American,African American
2021,1632,Withdrew Application Before Interview,,3.62,3.72,-2.12,[REDACTED],African American,African American
2021,1763,Withdrew Application Before Interview,488,2.94,3.27,0.02,[REDACTED],African American,African American
2021,2295,Offer Rescinded,511,3.96,3.96,0.04,[REDACTED],African American,African American
2021,3767,Withdrew Application Before Interview,508,3.16,3.18,-1.33,[REDACTED],African American,African American
2021,4991,Withdrew Application Before Interview,508,4,3.98,,[REDACTED],African American,African American
2021,5099,Withdrew Application Before Interview,,2.88,3.27,,[REDACTED],African American,African American
2021,6024,Withdrew Application Before Interview,497,3.3,3.62,-1.07,[REDACTED],African American,African American
2021,5166,Rejected Without Interview,505,2.91,3.11,-1.05,[REDACTED],American Indian,American Indian
2021,267,Withdrew Application After Interview,521,4,4,1.19,[REDACTED],Asian,Asian
2021,618,Withdrew Application After Interview,515,4,4,0.17,[REDACTED],Asian,Asian
2021,919,Withdrew Application After Interview,518,3.48,3.81,-0.19,[REDACTED],Asian,Asian
2021,1214,Withdrew Application After Interview,523,4,4,0.05,[REDACTED],Asian,Asian
2021,1310,Withdrew Application After Interview,522,3.88,3.93,0.91,[REDACTED],Asian,Asian
2021,1452,Withdrew Application After Interview,520,4,4,0.44,[REDACTED],Asian,Asian
2021,1907,Withdrew Application After Interview,524,4,4,0.42,[REDACTED],Asian,Asian
2021,2085,Withdrew Application After Interview,518,3.81,3.87,1.86,[REDACTED],Asian,Asian
2021,2593,Withdrew Application After Interview,515,3.92,3.91,0.89,[REDACTED],Asian,Asian
2021,4333,Withdrew Application After Interview,522,3.76,3.86,1.77,[REDACTED],Asian,Asian
2021,1240,Withdrew Application Before Interview,507,3.63,3.71,-1.55,[REDACTED],Asian; White,Multiple
2021,1113,Withdrew Application Before Interview,508,3.47,3.54,0.28,[REDACTED],Black or African American,African American
2021,454,Rejected Without Interview,509,3.82,3.88,-0.58,[REDACTED],Hispanic,"Cuban; Hispanic, Latino, or of Spanish origin"
2021,1802,Withdrew Application After Interview,518,3.78,3.86,0.2,[REDACTED],Hispanic,Hispanic
2021,4230,Withdrew Application After Interview,517,3.99,3.99,0.05,[REDACTED],Hispanic,Hispanic
2021,5582,Rejected Without Interview,492,3.26,3.3,-0.78,[REDACTED],Hispanic,"Hispanic, Latino, or of Spanish origin; Mexican/Chicano"
